repo,tstart,tstop,status,is_mono,m_ratio,repo_type,num_com,num_dvpr,num_cmt
ansible-role-jenkins-plugins,13,14,1,1,0.5,3,2,2,2
ansible-role-jenkins-plugins,12,13,0,1,1.0,3,1,1,6
fuel-plugin-vxlan,12,13,1,1,1.0,3,1,1,1
fuel-plugin-vxlan,11,12,0,1,1.0,3,1,1,1
oslosphinx,17,18,0,1,0.5,5,2,2,2
oslosphinx,16,17,0,1,1.0,5,1,1,2
oslosphinx,15,16,0,0,0.2857142857142857,5,5,7,7
oslosphinx,14,15,0,0,0.3333333333333333,5,4,6,6
oslosphinx,13,14,0,0,0.2857142857142857,5,5,6,7
oslosphinx,12,13,0,0,0.25,5,4,4,4
oslosphinx,11,12,0,1,0.5555555555555556,5,4,5,9
oslosphinx,10,11,0,1,0.7777777777777778,5,3,4,9
oslosphinx,9,10,0,1,0.5,5,3,3,4
oslosphinx,8,9,0,0,0.3333333333333333,5,5,5,6
oslosphinx,7,8,0,0,0.4,5,4,4,5
tempest-plugin-cookiecutter,16,17,1,1,1.0,1,1,1,1
tempest-plugin-cookiecutter,12,13,1,1,1.0,1,1,1,2
python-tricircleclient,17,18,0,0,0.4,4,4,4,5
python-tricircleclient,16,17,0,1,1.0,4,1,1,1
python-tricircleclient,15,16,0,0,0.4,4,5,7,20
python-tricircleclient,14,15,0,1,1.0,4,1,1,3
fuel-plugin-vmware-dvs,14,15,1,1,1.0,3,1,4,7
fuel-plugin-vmware-dvs,13,14,0,1,1.0,3,1,9,56
fuel-plugin-vmware-dvs,12,13,0,1,1.0,3,1,5,70
fuel-plugin-vmware-dvs,11,12,0,1,1.0,3,1,3,35
watcher-tempest-plugin,17,18,0,1,0.5333333333333333,1,4,5,15
watcher-tempest-plugin,15,16,1,0,0.2857142857142857,1,10,10,14
watcher-tempest-plugin,14,15,0,0,0.4166666666666667,1,5,7,12
watcher-tempest-plugin,13,14,0,1,0.75,1,5,5,16
watcher-tempest-plugin,12,13,0,1,0.75,1,3,4,12
ironic-staging-drivers,17,18,0,1,0.5833333333333334,1,5,8,12
ironic-staging-drivers,16,17,0,1,0.75,1,3,5,16
ironic-staging-drivers,15,16,0,1,0.8095238095238095,1,5,7,21
ironic-staging-drivers,14,15,0,1,0.9285714285714286,1,2,4,14
ironic-staging-drivers,13,14,0,1,0.6363636363636364,1,3,4,11
ironic-staging-drivers,12,13,0,0,0.25,1,4,3,4
fuel-plugin-cinder-netapp,15,16,1,1,1.0,3,1,1,1
fuel-plugin-cinder-netapp,14,15,0,1,1.0,3,1,2,3
fuel-plugin-cinder-netapp,13,14,0,1,0.9285714285714286,3,2,3,14
fuel-plugin-cinder-netapp,12,13,0,0,0.4,3,3,4,5
fuel-plugin-cinder-netapp,11,12,0,1,0.5714285714285714,3,2,5,7
fuel-plugin-cinder-netapp,10,11,0,1,0.8,3,2,3,5
swiftonfile,16,17,1,1,1.0,1,1,1,1
