repo,repo_type,version,real_ver,num_com,sum_cmt,max_com,max_com_cmt,max_P,is_only_one,is_dominate
ansible-role-jenkins-plugins,deployment,14,2,2,2,red hat,1,0.5,N,N
ansible-role-jenkins-plugins,deployment,13,1,1,6,red hat,1,0.5,Y,Y
fuel-plugin-vxlan,deployment,13,2,1,1,openstack foundation,1,0.5,Y,Y
fuel-plugin-vxlan,deployment,12,1,1,1,orange,1,0.5,Y,Y
oslosphinx,infra tools,18,11,2,2,ntt,1,0.5,N,N
oslosphinx,infra tools,17,10,1,2,suse,1,0.5,Y,Y
oslosphinx,infra tools,16,9,5,7,red hat,2,0.2857142857142857,N,N
oslosphinx,infra tools,15,8,4,6,independent,2,0.3333333333333333,N,N
oslosphinx,infra tools,14,7,5,7,nec,2,0.2857142857142857,N,N
oslosphinx,infra tools,13,6,4,4,hpe,1,0.25,N,N
oslosphinx,infra tools,12,5,4,9,hpe,5,0.5555555555555556,N,Y
oslosphinx,infra tools,11,4,3,9,hpe,7,0.7777777777777778,N,Y
oslosphinx,infra tools,10,3,3,4,hpe,2,0.5,N,Y
oslosphinx,infra tools,9,2,5,6,suse,2,0.3333333333333333,N,N
oslosphinx,infra tools,8,1,4,5,hpe,2,0.4,N,N
tempest-plugin-cookiecutter,component,17,5,1,1,suse,2,0.4,Y,Y
tempest-plugin-cookiecutter,component,13,1,1,2,nec,2,0.4,Y,Y
python-tricircleclient,Client,18,4,4,5,independent,2,0.4,N,N
python-tricircleclient,Client,17,3,1,1,independent,2,0.4,Y,Y
python-tricircleclient,Client,16,2,5,20,intel,8,0.4,N,N
python-tricircleclient,Client,15,1,1,3,intel,8,0.4,Y,Y
fuel-plugin-vmware-dvs,deployment,15,4,1,7,mirantis,8,0.4,Y,Y
fuel-plugin-vmware-dvs,deployment,14,3,1,56,mirantis,8,0.4,Y,Y
fuel-plugin-vmware-dvs,deployment,13,2,1,70,mirantis,8,0.4,Y,Y
fuel-plugin-vmware-dvs,deployment,12,1,1,35,mirantis,8,0.4,Y,Y
watcher-tempest-plugin,component,18,6,4,15,servionica,8,0.5333333333333333,N,Y
watcher-tempest-plugin,component,16,4,10,14,servionica,4,0.2857142857142857,N,N
watcher-tempest-plugin,component,15,3,5,12,b<>com,5,0.4166666666666667,N,N
watcher-tempest-plugin,component,14,2,5,16,b<>com,12,0.75,N,Y
watcher-tempest-plugin,component,13,1,3,12,b<>com,9,0.75,N,Y
ironic-staging-drivers,component,18,6,5,12,red hat,7,0.5833333333333334,N,Y
ironic-staging-drivers,component,17,5,3,16,mirantis,12,0.75,N,Y
ironic-staging-drivers,component,16,4,5,21,mirantis,17,0.8095238095238095,N,Y
ironic-staging-drivers,component,15,3,2,14,mirantis,13,0.9285714285714286,N,Y
ironic-staging-drivers,component,14,2,3,11,mirantis,7,0.6363636363636364,N,Y
ironic-staging-drivers,component,13,1,4,4,independent,1,0.25,N,N
fuel-plugin-cinder-netapp,deployment,16,6,1,1,mirantis,1,0.25,Y,Y
fuel-plugin-cinder-netapp,deployment,15,5,1,3,mirantis,1,0.25,Y,Y
fuel-plugin-cinder-netapp,deployment,14,4,2,14,mirantis,13,0.9285714285714286,N,Y
fuel-plugin-cinder-netapp,deployment,13,3,3,5,dell,2,0.4,N,N
fuel-plugin-cinder-netapp,deployment,12,2,2,7,mirantis,4,0.5714285714285714,N,Y
fuel-plugin-cinder-netapp,deployment,11,1,2,5,mirantis,4,0.8,N,Y
swiftonfile,component,17,10,1,1,zte corporation,4,0.8,Y,Y
swiftonfile,component,16,9,1,1,nec,4,0.8,Y,Y
swiftonfile,component,14,7,2,4,red hat,3,0.75,N,Y
swiftonfile,component,13,6,4,13,red hat,10,0.7692307692307693,N,Y
swiftonfile,component,12,5,3,11,red hat,9,0.8181818181818182,N,Y
swiftonfile,component,11,4,2,9,red hat,6,0.6666666666666666,N,Y
swiftonfile,component,10,3,2,70,red hat,69,0.9857142857142858,N,Y
swiftonfile,component,9,2,2,64,red hat,63,0.984375,N,Y
swiftonfile,component,8,1,2,140,red hat,138,0.9857142857142858,N,Y
airship-berth,deployment,18,2,1,1,at&t,138,0.9857142857142858,Y,Y
airship-berth,deployment,17,1,2,8,dell,7,0.875,N,Y
ansible-role-k8s-keystone,deployment,17,2,1,5,independent,7,0.875,Y,Y
ansible-role-k8s-keystone,deployment,16,1,2,13,independent,10,0.7692307692307693,N,Y
python-tackerclient,Client,18,9,4,13,independent,9,0.6923076923076923,N,Y
python-tackerclient,Client,17,8,5,16,independent,5,0.3125,N,N
python-tackerclient,Client,16,7,8,15,99cloud,3,0.2,N,N
python-tackerclient,Client,15,6,11,18,independent,3,0.16666666666666666,N,N
python-tackerclient,Client,14,5,15,37,red hat,9,0.24324324324324326,N,N
python-tackerclient,Client,13,4,12,27,deutsche telekom,6,0.2222222222222222,N,N
python-tackerclient,Client,12,3,7,15,intel,7,0.4666666666666667,N,Y
python-tackerclient,Client,11,2,1,7,intel,7,0.4666666666666667,Y,Y
python-tackerclient,Client,10,1,2,8,intel,7,0.875,N,Y
osops-coda,community,16,2,1,1,rackspace,7,0.875,Y,Y
osops-coda,community,15,1,1,1,fujitsu,7,0.875,Y,Y
bareon,component,17,8,2,4,cray,3,0.75,N,Y
bareon,component,16,7,3,8,mirantis,5,0.625,N,Y
bareon,component,15,6,4,39,mirantis,36,0.9230769230769231,N,Y
bareon,component,14,5,4,50,mirantis,47,0.94,N,Y
bareon,component,13,4,4,46,mirantis,41,0.8913043478260869,N,Y
bareon,component,12,3,2,58,mirantis,57,0.9827586206896551,N,Y
bareon,component,11,2,2,49,mirantis,47,0.9591836734693877,N,Y
bareon,component,10,1,2,21,mirantis,20,0.9523809523809523,N,Y
os-performance-tools,community,13,1,2,27,ibm,25,0.9259259259259259,N,Y
monitorstack,component,18,3,2,2,netapp,1,0.5,N,N
monitorstack,component,17,2,2,2,99cloud,1,0.5,N,N
monitorstack,component,16,1,5,45,rackspace,36,0.8,N,Y
molteniron,component,18,5,1,1,red hat,36,0.8,Y,Y
molteniron,component,16,3,2,2,ibm,1,0.5,N,N
molteniron,component,15,2,3,27,ibm,25,0.9259259259259259,N,Y
molteniron,component,14,1,1,1,ibm,25,0.9259259259259259,Y,Y
congress-dashboard,component,18,3,6,12,99cloud,5,0.4166666666666667,N,N
congress-dashboard,component,17,2,2,5,nec,4,0.8,N,Y
congress-dashboard,component,16,1,6,22,nec,16,0.7272727272727273,N,Y
murano-plugin-networking-sfc,component,14,1,1,5,mirantis,16,0.7272727272727273,Y,Y
debtcollector,component,18,8,2,5,red hat,3,0.6,N,Y
debtcollector,component,17,7,2,3,suse,2,0.6666666666666666,N,Y
debtcollector,component,16,6,4,6,easystack,2,0.3333333333333333,N,N
